desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia,size,descripcion,superficie,colloc,precio_m2
,casa en venta en merida en privada paseo country zona country club,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,8750000.0,,,,3.0,,3.0,,,,
,casa en venta en merida en privada altamira cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3800000.0,,,,3.0,,3.0,,,,
,casa en venta en merida modelo kookay en privada zentura cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4271000.0,,,,3.0,,3.0,,,,
,casa en venta en merida privada el cortijo zona country club,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,10490000.0,,,,4.0,,3.0,,,,
,casa de 3 recamaras con piscina y amplio jardin en mure ii bellavista dzitya,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,3550000.0,,,,4.0,,3.0,,,dzitya,
,casa en venta en merida en ibiza modelo frances en temozon norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4299000.0,,,,3.0,,3.0,,,,
,casa en venta en esquina en dzitya nuevo bellavista merida norte,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,5600000.0,,,,4.0,,4.0,,,dzitya,
,residencia de lujo en encinos lote 4 privada parque central. sitpach merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5550000.0,,,,4.0,,4.0,,,,
,casa en venta en merida de 4 recamaras privada almena modelo camelia en dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4530000.0,,,,4.0,,4.0,,,,
,casa en venta en merida de 4 recamaras privada margaritas 190 modelo a cholul,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4600000.0,,,,4.0,,4.0,,,,
,casa en venta en merida en temozon norte modelo suntori,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5790000.0,,,,4.0,,4.0,,,,
,casa en venta en merida townhouse en privada moratta modelo puala en dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2850000.0,,,,3.0,,3.0,,,,
,casa en venta en merida en temozon norte modelo arenna,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6699000.0,,,,3.0,,3.0,,,,
,residencia modelo naay en bellavista dzitya merida norte,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,6360000.0,,,,4.0,,4.0,,,dzitya,
,casa en venta en merida townhouse con roof top y piscina en privada cholul 27,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,3090000.0,,,,2.0,,2.0,,,,
,casa de 3 recamaras  sala de tv en privada dzitya 9 dzitya merida norte,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,2890000.0,,,,3.0,,3.0,,,dzitya,
,casa en venta en merida en privada soluna temozon norte,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5950000.0,,,,3.0,,3.0,,,,
,townhouse inteligente en privada ayrea con amenidades cholul merida,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,2590000.0,,,,2.0,,2.0,,,cholul,
,townhouse de lujo con piscina en privada copo 308 santa gertrudis copo,metros_cubicos,santa gertrudis copo,,,2024-03-16 21:06:01.279679,,,3850000.0,,,,2.0,,2.0,,,santa gertrudis copo,
,casa en venta en merida privada unica modelo 260 zona country club,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,5750000.0,,,,4.0,,3.0,,,,
,casa en venta de una planta en mirova dzitya merida norte. totalmente equipada,metros_cubicos,dzitya,,,2024-03-16 21:06:01.279679,,,6500000.0,,,,3.0,,3.0,,,dzitya,
,casa en condominio en  yucatan country club,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,16400000.0,,,,4.0,,4.0,,,,
,casa en venta en merida modelo murum en dzitya,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,6350000.0,,,,4.0,,4.0,,,,
,townhouse en venta en chuburna merida,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,2787000.0,,,,2.0,,2.0,,,,
,casas en venta en merida privada residencial cholul.,metros_cubicos,,,,2024-03-16 21:06:01.279679,,,4100000.0,,,,3.0,,3.0,,,,
,casa en cholul yuc. con piscina de 3 cuartos cuarto de servicio y sala de tv,metros_cubicos,cholul,,,2024-03-16 21:06:01.279679,,,3950000.0,,,,4.0,,3.0,,,cholul,
