desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,superficie,colonia,descripcion,mts_const,mts,colloc,precio_m2
,terreno urbanizados en preventa privada camporal temozon living,easybroker,,,,2024-03-20 06:52:16.743741,21.065001,-89.6239875,3024000.0,,x canatun,,,,xcanatun,
,terreno en privada residencial en cholul con amenidades premium,easybroker,cholul,,,2024-03-20 06:52:16.743741,21.0482617651,-89.5317723258,1255500.0,,,,,,cholul,
,terreno en venta en la ceiba,easybroker,la ceiba,,,2024-03-20 06:52:16.743741,21.0913888,-89.6294444,5950000.0,,,,,,la ceiba,
,terreno en venta sierra papacal sobre carretera chuburna puerto para desarollar,easybroker,sierra papacal,,,2024-03-20 06:52:16.743741,21.1248143,-89.7297795,28200000.0,,,,,,sierra papacal,
,lote en venta en tixcuytun,easybroker,tixcuytun,,,2024-03-20 06:52:16.743741,21.0565480005,-89.575996355,132900160.0,,cholul,,,,tixcuytun,
,terrenos residenciales en venta en entretat en santa gertrudis copo,easybroker,santa gertrudis copo,,,2024-03-20 06:52:16.743741,21.0381057,-89.5933722,2288105.0,,santa gertrudis copo,,,,santa gertrudis copo,
,2 lotes en venta de oportunidad en chablekal,easybroker,chablekal,,,2024-03-20 06:52:16.743741,21.0961842,-89.5756987,595000.0,,chablekal,,,,chablekal,
,terreno en venta de sobre carretera meridatimucuy,easybroker,,,,2024-03-20 06:52:16.743741,20.8221658,-89.6557551,32276615.0,,san jose tzal,,,,san jose tzal,
,terreno en venta en dzitya,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0483333,-89.6780555,840000.0,,dzitya,,,,dzitya,
,2 lotes en venta privada la rejoyada,easybroker,la rejoyada,,,2024-03-20 06:52:16.743741,21.1187722521,-89.6789287771,1275000.0,,,,,,la rejoyada,
,terreno bardeado en venta sobre anillo periferico,easybroker,,,,2024-03-20 06:52:16.743741,21.0424858,-89.5568382,42400000.0,,cholul,,,,cholul,
,terrenos en preventa en alcazar zona country con amenidades,easybroker,,,,2024-03-20 06:52:16.743741,21.0960317896,-89.6365931917,1965600.0,,,,,,,
,terreno en venta  de oportunidad sobre carretera meridatixpehual,easybroker,,,,2024-03-20 06:52:16.743741,20.9631425,-89.4835508,30634000.0,,,,,,,
,lote bardeado en venta sobre periferico,easybroker,,,,2024-03-20 06:52:16.743741,20.9404176,-89.6842504,52014720.0,,opichen,,,,opichen,
,terreno en venta en vitana sisal merida,easybroker,,,,2024-03-20 06:52:16.743741,20.9681469,-89.6298724,515193.0,,centro,,,,centro,
,terreno en venta en vitana sisal merida,easybroker,,,,2024-03-20 06:52:16.743741,20.9681469,-89.6298724,756309.0,,centro,,,,centro,
,terreno en venta en vitana sisal merida,easybroker,,,,2024-03-20 06:52:16.743741,20.9673702,-89.5925857,680438.0,,lazaro cardenas,,,,lazaro cardenas,
,kanha park,easybroker,,,,2024-03-20 06:52:16.743741,21.1205215,-89.6001108,5883602.0,,,,,,,
,lote residencial en venta en cabo norte merida,easybroker,cabo norte,,,2024-03-20 06:52:16.743741,21.0559072034,-89.5904159229,3900000.0,,temozon norte,,,,cabo norte,
,magnifico terreno en venta al norte de merida,easybroker,,,,2024-03-20 06:52:16.743741,21.0661111,-89.5700001,4200000.0,,,,,,,
,terreno en venta privada residencial puerta mayab cerca de la ceiba,easybroker,la ceiba,,,2024-03-20 06:52:16.743741,21.0987252,-89.5982084,6822703.5,,,,,,la ceiba,
,terrenos en preventa en corteza temozon,easybroker,,,,2024-03-20 06:52:16.743741,21.065001,-89.6239875,1532967.98,,x canatun,,,,xcanatun,
,terrenos en venta residenciales en tamankaya tamanche,easybroker,tamanche,,,2024-03-20 06:52:16.743741,21.1391666,-89.6416666,1839396.0,,,,,,tamanche,
,terreno en venta en dzitya,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0096824473,-89.6738433399,13127378.0,,san juan bautista,,,,dzitya,
,terreno en venta en dzitya,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0653386559,-89.6521282086,6247475.0,,dzitya,,,,dzitya,
,terrenos en desarrollo entre parques,easybroker,,,,2024-03-20 06:52:16.743741,21.0661111,-89.5700001,1440000.0,,,,,,,
,dzidzilha  privada residencial,easybroker,,,,2024-03-20 06:52:16.743741,,,2395899.0,,,,,,,
,terreno en venta en dzitya merida,easybroker,dzitya,,,2024-03-20 06:52:16.743741,21.0483333,-89.6780555,1289871.0,,dzitya,,,,dzitya,
,quadra lote b25,easybroker,,,,2024-03-20 06:52:16.743741,21.1248143,-89.7297795,403704.1,,,,,,,
,quadra lote 77,easybroker,,,,2024-03-20 06:52:16.743741,21.1248143,-89.7297795,800000.0,,,,,,,
,quadra lote 18 a,easybroker,,,,2024-03-20 06:52:16.743741,21.1248143,-89.7297795,935250.0,,,,,,,
,amanthia residencial,easybroker,,,,2024-03-20 06:52:16.743741,21.1172375,-89.6353357,536500.0,,,,,,,
,terreno en privada villareal,easybroker,villareal,,,2024-03-20 06:52:16.743741,21.065001,-89.6239875,2518040.0,,x canatun,,,,villareal,
,terrenolote en venta merida savia residencial zona country club,easybroker,,,,2024-03-20 06:52:16.743741,21.1200864,-89.5992616,893567.68,,,,,,,
,terreno para bodega en excelente zona centrica de merida,easybroker,,,,2024-03-20 06:52:16.743741,20.9760396,-89.6416593,12000000.0,,centro,,,,centro,
,terreno en parque tuunich temozon,easybroker,,,,2024-03-20 06:52:16.743741,21.065001,-89.6239875,3154200.0,,x canatun,,,,xcanatun,
,terreno en venta sobre carretera meridaprogreso. ctv260,easybroker,,,,2024-03-20 06:52:16.743741,20.9673702,-89.5925857,4380000.0,,lazaro cardenas,,,,lazaro cardenas,
,terreno en venta residencial balku komchen yuc.ctv 248,easybroker,komchen,,,2024-03-20 06:52:16.743741,21.1293405765,-89.7200202942,420000.0,,,,,,komchen,
,terreno en venta en komchen yucatan. ctv295,easybroker,yucatan,,,2024-03-20 06:52:16.743741,,,9850000.0,,,,,,yucatan,
,terreno en venta en col. roble agricola meridayuc. ctv271,easybroker,,,,2024-03-20 06:52:16.743741,,,8000000.0,,,,,,,
,terreno en gran san pedro cholul,easybroker,gran san pedro cholul,,,2024-03-20 06:52:16.743741,21.0246026,-89.5568382,897750.0,,cholul,,,,gran san pedro cholul,
,terreno de inversion chicxulub beach,easybroker,,,,2024-03-20 06:52:16.743741,21.1362559,-89.5161981,262500.0,,chicxulub pueblo,,,,chicxulub pueblo,
,magnifico terreno en primera fila playa,easybroker,,,,2024-03-20 06:52:16.743741,21.3419002,-89.2636045,20000000.0,,telchac puerto,,,,telchac puerto,
,terreno para constructor sierra papacal,easybroker,sierra papacal,,,2024-03-20 06:52:16.743741,21.1248143,-89.7297795,35361000.0,,,,,,sierra papacal,
,oportunidad en conkal,easybroker,,,,2024-03-20 06:52:16.743741,21.0411724,-89.5550539,1250000.0,,cholul,,,,cholul,
,se vende terreno sobre av. francisco i. madero,easybroker,,,,2024-03-20 06:52:16.743741,20.9696934,-89.6569312,1950000.0,,francisco i madero,,,,francisco i madero,
,venta lote residencial 596 m2  privada licata cabo norte merida,easybroker,cabo norte,,,2024-03-20 06:52:16.743741,21.0554266039,-89.5963811874,5066000.0,,temozon norte,,,,cabo norte,
,venta lote residencial privada parque natura cholul norte merida,easybroker,parque natura,,,2024-03-20 06:52:16.743741,21.0350797989,-89.5434661876,2477772.0,,cholul,,,,parque natura,
,venta terreno en tixcuytun al norte de merida,easybroker,tixcuytun,,,2024-03-20 06:52:16.743741,21.0661111,-89.5700001,13800000.0,,,,,,tixcuytun,
,lotes en  venta en dzibilchaltun yucatan privada tamara,easybroker,dzibilchaltun,,,2024-03-20 06:52:16.743741,21.0987252,-89.5982084,5061899.0,,,,,,dzibilchaltun,
,terrenos provincia merida,easybroker,,,,2024-03-20 06:52:16.743741,20.9673702,-89.5925857,2073285.0,,lazaro cardenas,,,,lazaro cardenas,
,terrenos en venta en merida.,easybroker,,,,2024-03-20 06:52:16.743741,20.9673702,-89.5925857,370713.0,,lazaro cardenas,,,,lazaro cardenas,
