desarrollador,oferta,fuente,localidad,precio_min,precio_max,fecha_consulta,lat,lon,precio,mts_const,direccion,bathrooms,recamaras,colonia
,casa de 3 hab. en venta col. poligono 108 cerca de macroplaza,easybroker,poligono 108,,,2024-02-21 13:04:12.121546,,,2300000.0,160.0,"Casa en Polígono 108, Mérida",2.0,3.0,
,casa en venta en chuburna de hidalgo,easybroker,chuburna de hidalgo,,,2024-02-21 13:04:12.121546,21.01198,-89.6342372,2700000.0,236.0,"Casa en Chuburna de Hidalgo, Mérida",2.0,2.0,chuburna de hidalgo
,hermosa casa en privada residencial en preventa.,easybroker,,,,2024-02-21 13:04:12.121546,21.1172375,-89.6353357,6299000.0,298.61,"Casa en Santa María Yaxché, Mérida",5.0,4.0,
,casa en venta en col. san juan grande merida.,easybroker,san juan grande,,,2024-02-21 13:04:12.121546,20.989657,-89.5868928,20000000.0,383.0,"Casa en San Juan Grande, Mérida",6.0,4.0,san juan grande
,hermosa casa en jardines de rejoyada merida,easybroker,jardines de rejoyada,,,2024-02-21 13:04:12.121546,21.1290262,-89.6862834,7100000.0,315.0,"Casa en Jardines de Rejoyada, Mérida",3.0,3.0,
,el hogar de tus suenos en la exclusiva privada de cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,5750000.0,324.0,"Casa en Cholul, Mérida",4.0,4.0,cholul
,casa en venta merida,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,18568502.0,660.0,"Casa en Temozon Norte, Mérida",3.0,3.0,x canatun
,townhouse en venta de tres recamaras en merida,easybroker,,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,2910000.0,136.0,"Casa en Dzityá, Mérida",2.0,3.0,dzitya
,venta espectacular casa 4 recamaras y alberca en albarella cholul,easybroker,cholul,,,2024-02-21 13:04:12.121546,21.0411724,-89.5550539,4250000.0,241.0,"Casa en Cholul, Mérida",4.0,4.0,cholul
,preventa casa de autor en paseo country,easybroker,,,,2024-02-21 13:04:12.121546,21.0987252,-89.5982084,8500000.0,340.0,"Casa en Dzibilchaltún, Mérida",5.0,4.0,
,casas en ventas en villas la hacienda conalto,easybroker,villas la hacienda,,,2024-02-21 13:04:12.121546,,,11400000.0,325.0,"Casa en Villas La Hacienda, Mérida",5.0,4.0,
,casa recamara planta bajapiscina en real montejo merida,easybroker,real montejo,,,2024-02-21 13:04:12.121546,21.0382682,-89.6686901,3200000.0,175.0,"Casa en Real Montejo, Mérida",3.0,3.0,dzitya
,casa en venta frente al green en el club de golf la ceiba merida,easybroker,club de golf la ceiba,,,2024-02-21 13:04:12.121546,21.0950302,-89.6223124,13500000.0,432.0,"Casa en Club de Golf La Ceiba, Mérida",5.0,3.0,
,venta casa sobre avenida en fracc las americas,easybroker,las americas,,,2024-02-21 13:04:12.121546,21.0799734,-89.6569312,2700000.0,200.0,"Casa en Las Américas II, Mérida",3.0,4.0,las americas ii
,monte dzitya residencias,easybroker,dzitya,,,2024-02-21 13:04:12.121546,21.0483333,-89.6780555,3285000.0,198.0,"Casa en Dzityá, Mérida",3.0,3.0,dzitya
,venta  casa colonia francisco villa cerca plaza dorada.,easybroker,francisco villa,,,2024-02-21 13:04:12.121546,20.9602574,-89.5669594,2500000.0,215.0,"Casa en Francisco Villa, Mérida",3.0,4.0,benito juarez oriente
,casas y townhouses noroasis en preventa casa modelo a,easybroker,,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,6400000.0,256.0,"Casa en Temozon Norte, Mérida",4.0,3.0,x canatun
,venta casa premium 4 recamaras en privada barlovento temozon norte,easybroker,temozon norte,,,2024-02-21 13:04:12.121546,21.065001,-89.6239875,6500000.0,265.0,"Casa en Temozon Norte, Mérida",4.0,4.0,x canatun
